Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5084501890,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Josh Hart (42221142),Cam Spencer (42221262),Aaron Gordon (42221147),Jonas Valanciunas (42221413),Darius Garland (42221128),Bennedict Mathurin (42221150),Nic Claxton (42221205),,1. Column A lists all of your contest entries for this draftgroup
5084501891,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Josh Hart (42221142),Mikal Bridges (42221159),Jaylon Tyson (42221179),Nic Claxton (42221205),Darius Garland (42221128),Bennedict Mathurin (42221150),Mitchell Robinson (42221367),,2. Your current lineup is listed next to each entry (blank for reservations)
5084501892,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Josh Hart (42221142),Mikal Bridges (42221159),Aaron Wiggins (42221276),Nikola Jokic (42221043),Darius Garland (42221128),Jaylen Wells (42221259),Nic Claxton (42221205),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5084501893,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Cam Spencer (42221262),Tim Hardaway Jr. (42221289),Draymond Green (42221192),Andre Drummond (42221280),Keyonte George (42221092),Bennedict Mathurin (42221150),Darius Garland (42221128),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5084501894,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Darius Garland (42221128),Josh Hart (42221142),Mikal Bridges (42221159),Spencer Jones (42221410),Nikola Jokic (42221043),Cam Spencer (42221262),Tim Hardaway Jr. (42221289),Nic Claxton (42221205),,5. For faster processing only include entries you are changing in the file you upload
5084501895,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Cam Spencer (42221262),Kawhi Leonard (42221051),Noah Clowney (42221229),Nic Claxton (42221205),Darius Garland (42221128),Mikal Bridges (42221159),Mitchell Robinson (42221367),,
5084501896,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Kris Dunn (42221248),Tim Hardaway Jr. (42221289),Aaron Gordon (42221147),Nic Claxton (42221205),Shai Gilgeous-Alexander (42221045),Cam Spencer (42221262),Keyonte George (42221092),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5084501909,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Josh Hart (42221142),Mikal Bridges (42221159),Evan Mobley (42221079),Nic Claxton (42221205),Shai Gilgeous-Alexander (42221045),Cam Spencer (42221262),Tim Hardaway Jr. (42221289),,PG,Ja Morant (42221076),Ja Morant,42221076,PG/G/UTIL,8500,MEM@BKN 03/09/2026 07:30PM ET,MEM,37.51
5084501910,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Jordan Miller (42221369),Josh Hart (42221142),OG Anunoby (42221111),Andre Drummond (42221280),James Harden (42221059),Evan Mobley (42221079),Darius Garland (42221128),,PF/C,Evan Mobley (42221079),Evan Mobley,42221079,PF/C/F/UTIL,8400,PHI@CLE 03/09/2026 07:00PM ET,CLE,39.78
5084501911,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Bennedict Mathurin (42221150),Mikal Bridges (42221159),Aaron Gordon (42221147),Nic Claxton (42221205),James Harden (42221059),Jaylen Wells (42221259),Darius Garland (42221128),,SF,Lauri Markkanen (42221083),Lauri Markkanen,42221083,SF/F/UTIL,8300,GSW@UTA 03/09/2026 09:00PM ET,UTA,42.32
5084501912,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Darius Garland (42221128),Jordan Miller (42221369),Josh Hart (42221142),OG Anunoby (42221111),Karl-Anthony Towns (42221074),Bennedict Mathurin (42221150),Jaylon Tyson (42221179),Nic Claxton (42221205),,SF,Jalen Williams (42221086),Jalen Williams,42221086,SF/F/UTIL,8200,DEN@OKC 03/09/2026 07:30PM ET,OKC,34.16
5084501913,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Josh Hart (42221142),Mikal Bridges (42221159),Aaron Gordon (42221147),Day'Ron Sharpe (42221238),Darius Garland (42221128),Tim Hardaway Jr. (42221289),Jaylon Tyson (42221179),,PG,Isaiah Collier (42221089),Isaiah Collier,42221089,PG/G/UTIL,8100,GSW@UTA 03/09/2026 09:00PM ET,UTA,27.50
5084501914,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Josh Hart (42221142),Bennedict Mathurin (42221150),Aaron Gordon (42221147),Day'Ron Sharpe (42221238),Darius Garland (42221128),Aaron Wiggins (42221276),Nic Claxton (42221205),,PG,Keyonte George (42221092),Keyonte George,42221092,PG/G/UTIL,8000,GSW@UTA 03/09/2026 09:00PM ET,UTA,40.61
5084501915,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Bennedict Mathurin (42221150),Jaylon Tyson (42221179),OG Anunoby (42221111),Andre Drummond (42221280),Shai Gilgeous-Alexander (42221045),Aaron Gordon (42221147),Mitchell Robinson (42221367),,SF,Michael Porter Jr. (42221095),Michael Porter Jr.,42221095,SF/F/UTIL,7900,MEM@BKN 03/09/2026 07:30PM ET,BKN,41.41
5084501916,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Jordan Miller (42221369),Mikal Bridges (42221159),Jaylon Tyson (42221179),Nikola Jokic (42221043),Bennedict Mathurin (42221150),Aaron Wiggins (42221276),Nic Claxton (42221205),,PF/C,Kyle Filipowski (42221098),Kyle Filipowski,42221098,PF/C/F/UTIL,7800,GSW@UTA 03/09/2026 09:00PM ET,UTA,25.00
5084501917,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Donovan Mitchell (42221054),Mikal Bridges (42221159),OG Anunoby (42221111),Nic Claxton (42221205),Cam Spencer (42221262),Jaylen Wells (42221259),Kevin Love (42221404),,C,Jarrett Allen (42221102),Jarrett Allen,42221102,C/UTIL,7700,PHI@CLE 03/09/2026 07:00PM ET,CLE,32.26
5084501918,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Josh Hart (42221142),Mikal Bridges (42221159),Aaron Gordon (42221147),Nic Claxton (42221205),Bennedict Mathurin (42221150),Jaylon Tyson (42221179),Danny Wolf (42221306),,PG/SG,Brandin Podziemski (42221104),Brandin Podziemski,42221104,PG/SG/G/UTIL,7400,GSW@UTA 03/09/2026 09:00PM ET,GSW,27.41
5084501919,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Jordan Miller (42221369),Jaylen Wells (42221259),Noah Clowney (42221229),Nikola Jokic (42221043),Keyonte George (42221092),Cam Spencer (42221262),Nic Claxton (42221205),,SG,VJ Edgecombe (42221108),VJ Edgecombe,42221108,SG/G/UTIL,7100,PHI@CLE 03/09/2026 07:00PM ET,PHI,32.26
5084501920,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Josh Hart (42221142),Mikal Bridges (42221159),OG Anunoby (42221111),Andre Drummond (42221280),Cam Spencer (42221262),Evan Mobley (42221079),Jaylen Wells (42221259),,PF,OG Anunoby (42221111),OG Anunoby,42221111,PF/F/UTIL,6900,NYK@LAC 03/09/2026 10:00PM ET,NYK,31.78
5084501921,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Cam Spencer (42221262),Jaylen Wells (42221259),Noah Clowney (42221229),Nic Claxton (42221205),Keyonte George (42221092),Bennedict Mathurin (42221150),Andre Drummond (42221280),,SF/PF,Peyton Watson (42221114),Peyton Watson,42221114,SF/PF/F/UTIL,6800,DEN@OKC 03/09/2026 07:30PM ET,DEN,28.34
5084501922,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Jordan Miller (42221369),Josh Hart (42221142),Evan Mobley (42221079),Mitchell Robinson (42221367),Shai Gilgeous-Alexander (42221045),Cam Spencer (42221262),Keyonte George (42221092),,SF/PF,Ace Bailey (42221118),Ace Bailey,42221118,SF/PF/F/UTIL,6700,GSW@UTA 03/09/2026 09:00PM ET,UTA,22.77
5084501923,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Darius Garland (42221128),Kris Dunn (42221248),Mikal Bridges (42221159),Aaron Gordon (42221147),Nikola Jokic (42221043),Cam Spencer (42221262),Jaylen Wells (42221259),Mitchell Robinson (42221367),,PG,Ty Jerome (42221122),Ty Jerome,42221122,PG/G/UTIL,6600,MEM@BKN 03/09/2026 07:30PM ET,MEM,34.65
5084501924,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Josh Hart (42221142),Mikal Bridges (42221159),Aaron Gordon (42221147),Nic Claxton (42221205),Bennedict Mathurin (42221150),Tim Hardaway Jr. (42221289),Draymond Green (42221192),,PF,Gui Santos (42221125),Gui Santos,42221125,PF/F/UTIL,6500,GSW@UTA 03/09/2026 09:00PM ET,GSW,16.74
5084501925,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Jordan Miller (42221369),Tim Hardaway Jr. (42221289),Draymond Green (42221192),Nic Claxton (42221205),Keyonte George (42221092),Josh Hart (42221142),Darius Garland (42221128),,PG,Darius Garland (42221128),Darius Garland,42221128,PG/G/UTIL,6500,NYK@LAC 03/09/2026 10:00PM ET,LAC,32.58
5084501926,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Bennedict Mathurin (42221150),Mikal Bridges (42221159),Jaylon Tyson (42221179),Nikola Jokic (42221043),Jose Alvarado (42221418),Noah Clowney (42221229),Nic Claxton (42221205),,PF,Gregory Jackson (42221131),Gregory Jackson,42221131,PF/F/UTIL,6400,MEM@BKN 03/09/2026 07:30PM ET,MEM,21
5084501927,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Darius Garland (42221128),Kris Dunn (42221248),Tim Hardaway Jr. (42221289),OG Anunoby (42221111),Karl-Anthony Towns (42221074),Josh Hart (42221142),Bennedict Mathurin (42221150),Nic Claxton (42221205),,SG/SF,Kelly Oubre Jr. (42221134),Kelly Oubre Jr.,42221134,SG/SF/F/G/UTIL,6400,PHI@CLE 03/09/2026 07:00PM ET,PHI,27.17
5084501928,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Jordan Miller (42221369),Cam Spencer (42221262),OG Anunoby (42221111),Nikola Jokic (42221043),Keyonte George (42221092),Bennedict Mathurin (42221150),Kevin Love (42221404),,SF,Moses Moody (42221139),Moses Moody,42221139,SF/F/UTIL,6300,GSW@UTA 03/09/2026 09:00PM ET,GSW,22.27
5084501929,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Cam Spencer (42221262),Mikal Bridges (42221159),Aaron Gordon (42221147),Day'Ron Sharpe (42221238),Darius Garland (42221128),Jaylon Tyson (42221179),Andre Drummond (42221280),,SG/SF,Josh Hart (42221142),Josh Hart,42221142,SG/SF/F/G/UTIL,6300,NYK@LAC 03/09/2026 10:00PM ET,NYK,31.86
5084501930,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Donovan Mitchell (42221054),Mikal Bridges (42221159),Jaylon Tyson (42221179),Andre Drummond (42221280),James Harden (42221059),Jaylen Wells (42221259),Dominick Barlow (42221328),,PF,Aaron Gordon (42221147),Aaron Gordon,42221147,PF/F/UTIL,6300,DEN@OKC 03/09/2026 07:30PM ET,DEN,30.64
5084501931,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Terance Mann (42221406),Bennedict Mathurin (42221150),Aaron Gordon (42221147),Nic Claxton (42221205),James Harden (42221059),Evan Mobley (42221079),Darius Garland (42221128),,C,Zach Edey (42221157),Zach Edey,42221157,C/UTIL,6200,MEM@BKN 03/09/2026 07:30PM ET,MEM,33.77
5084501932,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Terance Mann (42221406),Cam Spencer (42221262),Aaron Gordon (42221147),Karl-Anthony Towns (42221074),Darius Garland (42221128),Jaylon Tyson (42221179),Andre Drummond (42221280),,SG/SF,Bennedict Mathurin (42221150),Bennedict Mathurin,42221150,SG/SF/F/G/UTIL,6200,NYK@LAC 03/09/2026 10:00PM ET,LAC,30.34
5084501933,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Josh Hart (42221142),Mikal Bridges (42221159),Evan Mobley (42221079),Andre Drummond (42221280),Keyonte George (42221092),Bennedict Mathurin (42221150),Darius Garland (42221128),,C,Isaiah Hartenstein (42221155),Isaiah Hartenstein,42221155,C/UTIL,6200,DEN@OKC 03/09/2026 07:30PM ET,OKC,30.07
5084501934,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Jordan Miller (42221369),Tim Hardaway Jr. (42221289),Evan Mobley (42221079),Nic Claxton (42221205),Keyonte George (42221092),Cam Spencer (42221262),Terance Mann (42221406),,SF,Mikal Bridges (42221159),Mikal Bridges,42221159,SF/F/UTIL,6100,NYK@LAC 03/09/2026 10:00PM ET,NYK,31.22
5084501935,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Kris Dunn (42221248),Josh Hart (42221142),Evan Mobley (42221079),Nic Claxton (42221205),Darius Garland (42221128),Bennedict Mathurin (42221150),Jordan Miller (42221369),,PG/SG,Quentin Grimes (42221162),Quentin Grimes,42221162,PG/SG/G/UTIL,6000,PHI@CLE 03/09/2026 07:00PM ET,PHI,24.94
5084501936,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Terance Mann (42221406),Jaylen Wells (42221259),OG Anunoby (42221111),Nikola Jokic (42221043),Darius Garland (42221128),Josh Hart (42221142),Nic Claxton (42221205),,PF/C,John Collins (42221166),John Collins,42221166,PF/C/F/UTIL,6000,NYK@LAC 03/09/2026 10:00PM ET,LAC,25.05
5084501937,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Donovan Mitchell (42221054),Jaylen Wells (42221259),Aaron Gordon (42221147),Nic Claxton (42221205),Darius Garland (42221128),Cam Spencer (42221262),Dominick Barlow (42221328),,SG/SF,De'Anthony Melton (42221170),De'Anthony Melton,42221170,SG/SF/F/G/UTIL,5900,GSW@UTA 03/09/2026 09:00PM ET,GSW,23.85
5084501938,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Jordan Miller (42221369),Josh Hart (42221142),Aaron Wiggins (42221276),Nikola Jokic (42221043),James Harden (42221059),Cam Spencer (42221262),Andre Drummond (42221280),,PF/C,Santi Aldama (42221175),Santi Aldama,42221175,PF/C/F/UTIL,5800,MEM@BKN 03/09/2026 07:30PM ET,MEM,30.25
5084501939,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Kris Dunn (42221248),Jaylen Wells (42221259),Aaron Wiggins (42221276),Nic Claxton (42221205),James Harden (42221059),Bennedict Mathurin (42221150),Kevin Love (42221404),,SF/PF,Jaylon Tyson (42221179),Jaylon Tyson,42221179,SF/PF/F/UTIL,5700,PHI@CLE 03/09/2026 07:00PM ET,CLE,26.33
5084501940,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Josh Hart (42221142),Tim Hardaway Jr. (42221289),Aaron Gordon (42221147),Mitchell Robinson (42221367),Keyonte George (42221092),Cam Spencer (42221262),Darius Garland (42221128),,PF/C,Jaylin Williams (42221183),Jaylin Williams,42221183,PF/C/F/UTIL,5700,DEN@OKC 03/09/2026 07:30PM ET,OKC,20.41
5084501941,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Josh Hart (42221142),Bennedict Mathurin (42221150),Jaylon Tyson (42221179),Nic Claxton (42221205),Keyonte George (42221092),Aaron Wiggins (42221276),Mitchell Robinson (42221367),,SG/SF,Brice Sensabaugh (42221187),Brice Sensabaugh,42221187,SG/SF/F/G/UTIL,5600,GSW@UTA 03/09/2026 09:00PM ET,UTA,20.72
5084501942,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Cam Spencer (42221262),Mikal Bridges (42221159),Aaron Gordon (42221147),Nic Claxton (42221205),Bennedict Mathurin (42221150),Tim Hardaway Jr. (42221289),Jaylon Tyson (42221179),,PF/C,Draymond Green (42221192),Draymond Green,42221192,PF/C/F/UTIL,5600,GSW@UTA 03/09/2026 09:00PM ET,GSW,25.65
5084501943,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Cam Spencer (42221262),Jaylen Wells (42221259),OG Anunoby (42221111),Karl-Anthony Towns (42221074),James Harden (42221059),Aaron Gordon (42221147),Nic Claxton (42221205),,SF/PF,Cameron Johnson (42221196),Cameron Johnson,42221196,SF/PF/F/UTIL,5600,DEN@OKC 03/09/2026 07:30PM ET,DEN,21.89
5084501944,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Josh Hart (42221142),Cam Spencer (42221262),Aaron Wiggins (42221276),Nikola Jokic (42221043),Darius Garland (42221128),Bennedict Mathurin (42221150),Nic Claxton (42221205),,C,Nic Claxton (42221205),Nic Claxton,42221205,C/UTIL,5500,MEM@BKN 03/09/2026 07:30PM ET,BKN,30.77
5084501945,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Josh Hart (42221142),Mikal Bridges (42221159),Aaron Gordon (42221147),Nikola Jokic (42221043),Jose Alvarado (42221418),Tim Hardaway Jr. (42221289),Nic Claxton (42221205),,PF/C,Kristaps Porzingis (42221207),Kristaps Porzingis,42221207,PF/C/F/UTIL,5500,GSW@UTA 03/09/2026 09:00PM ET,GSW,30.57
5084501946,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Kris Dunn (42221248),Jaylen Wells (42221259),Jaylon Tyson (42221179),Karl-Anthony Towns (42221074),Shai Gilgeous-Alexander (42221045),Bennedict Mathurin (42221150),Jonas Valanciunas (42221413),,SG/SF,Cason Wallace (42221200),Cason Wallace,42221200,SG/SF/F/G/UTIL,5500,DEN@OKC 03/09/2026 07:30PM ET,OKC,21.79
5084501947,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Bennedict Mathurin (42221150),Tim Hardaway Jr. (42221289),Jaylon Tyson (42221179),Nic Claxton (42221205),Keyonte George (42221092),Jaylen Wells (42221259),Kevin Love (42221404),,PG,Javon Small (42221220),Javon Small,42221220,PG/G/UTIL,5400,MEM@BKN 03/09/2026 07:30PM ET,MEM,18.32
5084501948,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Josh Hart (42221142),Mikal Bridges (42221159),OG Anunoby (42221111),Nic Claxton (42221205),James Harden (42221059),Jaylon Tyson (42221179),Darius Garland (42221128),,PF/C,Al Horford (42221211),Al Horford,42221211,PF/C/F/UTIL,5400,GSW@UTA 03/09/2026 09:00PM ET,GSW,22.53
5084501949,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Josh Hart (42221142),De'Anthony Melton (42221170),Noah Clowney (42221229),Nic Claxton (42221205),Shai Gilgeous-Alexander (42221045),Dominick Barlow (42221328),Darius Garland (42221128),,SG/SF,Sam Merrill (42221215),Sam Merrill,42221215,SG/SF/F/G/UTIL,5400,PHI@CLE 03/09/2026 07:00PM ET,CLE,21.74
5084501950,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Kris Dunn (42221248),Mikal Bridges (42221159),Evan Mobley (42221079),Nic Claxton (42221205),Donovan Mitchell (42221054),Jaylen Wells (42221259),Darius Garland (42221128),,PG,Scotty Pippen Jr. (42221226),Scotty Pippen Jr.,42221226,PG/G/UTIL,5300,MEM@BKN 03/09/2026 07:30PM ET,MEM,24.95
