Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5090212743,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Bub Carrington (42298224),Bilal Coulibaly (42298215),Will Riley (42298181),Jalen Smith (42298194),Nickeil Alexander-Walker (42298039),Paolo Banchero (42297965),Jock Landale (42298400),,1. Column A lists all of your contest entries for this draftgroup
5090212744,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Corey Kispert (42298448),Herbert Jones (42298244),Jalen Johnson (42297962),Jalen Smith (42298194),Ryan Nembhard (42298417),Paolo Banchero (42297965),Jock Landale (42298400),,2. Your current lineup is listed next to each entry (blank for reservations)
5090212745,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Trey Murphy III (42298024),Herbert Jones (42298244),Deni Avdija (42297983),Jalen Smith (42298194),Jeremiah Fears (42298299),Saddiq Bey (42298079),Yves Missi (42298374),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5090212746,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Brandon Williams (42298190),Cam Spencer (42298198),Jalen Johnson (42297962),Jock Landale (42298400),Tre Jones (42298133),PJ Washington (42298137),Derik Queen (42298270),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5090212747,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Trey Murphy III (42298024),Deni Avdija (42297983),PJ Washington (42298137),Nic Claxton (42298146),Jeremiah Fears (42298299),Patrick Williams (42298402),Jalen Smith (42298194),,5. For faster processing only include entries you are changing in the file you upload
5090212748,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Derrick White (42298013),Trey Murphy III (42298024),Cam Spencer (42298198),Zion Williamson (42298033),Marvin Bagley III (42298294),Dejounte Murray (42298021),PJ Washington (42298137),Yves Missi (42298374),,
5090212749,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),Tre Johnson (42298321),Bilal Coulibaly (42298215),Derik Queen (42298270),Wendell Carter Jr. (42298165),Desmond Bane (42298003),Tristan da Silva (42298157),Paolo Banchero (42297965),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5090212760,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Bub Carrington (42298224),Cam Spencer (42298198),Bilal Coulibaly (42298215),Jalen Smith (42298194),Derrick White (42298013),Paolo Banchero (42297965),Moritz Wagner (42298425),,PG/SG,Brandin Podziemski (42297996),Brandin Podziemski,42297996,PG/SG/G/UTIL,8300,GSW@WAS 03/16/2026 07:00PM ET,GSW,28.01
5090212761,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Yuki Kawamura (42298598),Jeremiah Fears (42298299),Jaylen Brown (42297975),Deni Avdija (42297983),Jalen Smith (42298194),Jalen Suggs (42298049),Cam Spencer (42298198),Nickeil Alexander-Walker (42298039),,SF,Michael Porter Jr. (42298000),Michael Porter Jr.,42298000,SF/F/UTIL,8200,POR@BKN 03/16/2026 07:30PM ET,BKN,41.07
5090212762,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Scoot Henderson (42298154),Jaylen Brown (42297975),Will Riley (42298181),Khris Middleton (42298263),Neemias Queta (42298089),Josh Giddey (42297980),Derik Queen (42298270),Jalen Smith (42298194),,SG/SF,Desmond Bane (42298003),Desmond Bane,42298003,SG/SF/F/G/UTIL,8100,ORL@ATL 03/16/2026 07:00PM ET,ORL,35.16
5090212763,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Dejounte Murray (42298021),Trey Murphy III (42298024),Bilal Coulibaly (42298215),Jayson Tatum (42297990),Marvin Bagley III (42298294),Drake Powell (42298357),Derik Queen (42298270),Desmond Bane (42298003),,C,Anthony Davis (42298008),Anthony Davis,42298008,C/UTIL,8000,GSW@WAS 03/16/2026 07:00PM ET,WAS,44.06
5090212764,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Devin Booker (42297971),Trey Murphy III (42298024),Bilal Coulibaly (42298215),Will Riley (42298181),Marvin Bagley III (42298294),Tre Johnson (42298321),Derik Queen (42298270),Paolo Banchero (42297965),,PG,Trae Young (42298010),Trae Young,42298010,PG/G/UTIL,7900,GSW@WAS 03/16/2026 07:00PM ET,WAS,34.29
5090212765,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Max Christie (42298273),Naji Marshall (42298122),Jalen Johnson (42297962),Jalen Smith (42298194),Ryan Nembhard (42298417),PJ Washington (42298137),Khris Middleton (42298263),,PG,Derrick White (42298013),Derrick White,42298013,PG/G/UTIL,7800,PHX@BOS 03/16/2026 07:30PM ET,BOS,37.33
5090212766,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Cam Spencer (42298198),Baylor Scheierman (42298318),Will Riley (42298181),Zion Williamson (42298033),Kristaps Porzingis (42298172),Desmond Bane (42298003),Derik Queen (42298270),Paolo Banchero (42297965),,C,Donovan Clingan (42298016),Donovan Clingan,42298016,C/UTIL,7800,POR@BKN 03/16/2026 07:30PM ET,POR,34.66
5090212767,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Brandon Williams (42298190),Jeremiah Fears (42298299),Jaylen Brown (42297975),Jayson Tatum (42297990),Yves Missi (42298374),Naji Marshall (42298122),Zion Williamson (42298033),Derik Queen (42298270),,PF,Matas Buzelis (42298018),Matas Buzelis,42298018,PF/F/UTIL,7700,MEM@CHI 03/16/2026 08:00PM ET,CHI,30.59
5090212768,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),Payton Pritchard (42298098),Jaylen Brown (42297975),Jalen Johnson (42297962),Marvin Bagley III (42298294),Corey Kispert (42298448),Khris Middleton (42298263),Jock Landale (42298400),,PG,Dejounte Murray (42298021),Dejounte Murray,42298021,PG/G/UTIL,7700,DAL@NOP 03/16/2026 08:00PM ET,NOP,37.62
5090212769,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Collin Gillespie (42298102),Tre Jones (42298133),Jalen Green (42298057),Matas Buzelis (42298018),Jalen Smith (42298194),Jamaree Bouyea (42298553),Paolo Banchero (42297965),Wendell Carter Jr. (42298165),,SF,Franz Wagner (42298028),Franz Wagner,42298028,SF/F/UTIL,7600,ORL@ATL 03/16/2026 07:00PM ET,ORL,36.56
5090212770,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Cedric Coward (42298203),Will Riley (42298181),Zion Williamson (42298033),Jalen Smith (42298194),Jeremiah Fears (42298299),Tristan da Silva (42298157),Nickeil Alexander-Walker (42298039),,PG/SG,Trey Murphy III (42298024),Trey Murphy III,42298024,PG/SG/G/UTIL,7600,DAL@NOP 03/16/2026 08:00PM ET,NOP,39.31
5090212771,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Tre Jones (42298133),Collin Sexton (42298167),Gui Santos (42298043),Jalen Smith (42298194),Jalen Suggs (42298049),Kristaps Porzingis (42298172),Derik Queen (42298270),,C,Onyeka Okongwu (42298031),Onyeka Okongwu,42298031,C/UTIL,7500,ORL@ATL 03/16/2026 07:00PM ET,ATL,35.42
5090212772,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Tre Jones (42298133),Desmond Bane (42298003),Jaylen Wells (42298237),Tristan da Silva (42298157),Jalen Smith (42298194),Cam Spencer (42298198),Paolo Banchero (42297965),Wendell Carter Jr. (42298165),,PF,Zion Williamson (42298033),Zion Williamson,42298033,PF/F/UTIL,7500,DAL@NOP 03/16/2026 08:00PM ET,NOP,36.03
5090212773,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Devin Booker (42297971),Jordan Walsh (42298502),Zion Williamson (42298033),Jock Landale (42298400),Cam Spencer (42298198),Paolo Banchero (42297965),DeAndre Jordan (42298591),,PG,Jrue Holiday (42298036),Jrue Holiday,42298036,PG/G/UTIL,7400,POR@BKN 03/16/2026 07:30PM ET,POR,33.82
5090212774,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Nickeil Alexander-Walker (42298039),Max Christie (42298273),Saddiq Bey (42298079),Jalen Johnson (42297962),Jalen Smith (42298194),Corey Kispert (42298448),Zion Williamson (42298033),Derik Queen (42298270),,PF,Gui Santos (42298043),Gui Santos,42298043,PF/F/UTIL,7300,GSW@WAS 03/16/2026 07:00PM ET,GSW,18.07
5090212775,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,CJ McCollum (42298062),Cedric Coward (42298203),Dyson Daniels (42298052),Jalen Johnson (42297962),Jalen Smith (42298194),Jeremiah Fears (42298299),Cam Spencer (42298198),Wendell Carter Jr. (42298165),,PG/SG,Nickeil Alexander-Walker (42298039),Nickeil Alexander-Walker,42298039,PG/SG/G/UTIL,7300,ORL@ATL 03/16/2026 07:00PM ET,ATL,33.95
5090212776,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Bub Carrington (42298224),Max Christie (42298273),Deni Avdija (42297983),Zion Williamson (42298033),Nic Claxton (42298146),Trey Murphy III (42298024),Tristan da Silva (42298157),Marvin Bagley III (42298294),,SG,Shaedon Sharpe (42298046),Shaedon Sharpe,42298046,SG/G/UTIL,7200,POR@BKN 03/16/2026 07:30PM ET,POR,33.45
5090212777,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Derrick White (42298013),CJ McCollum (42298062),Jaylen Brown (42297975),Derik Queen (42298270),Jalen Smith (42298194),Nickeil Alexander-Walker (42298039),Patrick Williams (42298402),Wendell Carter Jr. (42298165),,PG,Jalen Suggs (42298049),Jalen Suggs,42298049,PG/G/UTIL,7100,ORL@ATL 03/16/2026 07:00PM ET,ORL,31.98
5090212778,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Cedric Coward (42298203),Bilal Coulibaly (42298215),Matas Buzelis (42298018),Wendell Carter Jr. (42298165),Jalen Green (42298057),Kristaps Porzingis (42298172),Will Riley (42298181),,SG/SF,Dyson Daniels (42298052),Dyson Daniels,42298052,SG/SF/F/G/UTIL,7000,ORL@ATL 03/16/2026 07:00PM ET,ATL,33.08
5090212779,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Nickeil Alexander-Walker (42298039),Jaylen Brown (42297975),Matas Buzelis (42298018),Danny Wolf (42298129),Corey Kispert (42298448),Derik Queen (42298270),John Poulakidas (42298633),,SG/SF,Jalen Green (42298057),Jalen Green,42298057,SG/SF/F/G/UTIL,6900,PHX@BOS 03/16/2026 07:30PM ET,PHX,28.04
5090212780,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Derrick White (42298013),Jeremiah Fears (42298299),Jaylen Brown (42297975),Jayson Tatum (42297990),Neemias Queta (42298089),John Poulakidas (42298633),Zion Williamson (42298033),DeAndre Jordan (42298591),,C,Alexandre Sarr (42298069),Alexandre Sarr,42298069,C/UTIL,6800,GSW@WAS 03/16/2026 07:00PM ET,WAS,35.97
5090212781,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jrue Holiday (42298036),Jeremiah Fears (42298299),Deni Avdija (42297983),Zion Williamson (42298033),Neemias Queta (42298089),Collin Gillespie (42298102),Derik Queen (42298270),Marvin Bagley III (42298294),,PF,Dillon Brooks (42298066),Dillon Brooks,42298066,PF/F/UTIL,6800,PHX@BOS 03/16/2026 07:30PM ET,PHX,30.78
5090212782,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Ryan Nembhard (42298417),Max Christie (42298273),Jaylen Brown (42297975),Deni Avdija (42297983),Marvin Bagley III (42298294),Brandon Williams (42298190),Jalen Johnson (42297962),Jock Landale (42298400),,PG/SG,CJ McCollum (42298062),CJ McCollum,42298062,PG/SG/G/UTIL,6800,ORL@ATL 03/16/2026 07:00PM ET,ATL,31.14
5090212783,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Bub Carrington (42298224),Deni Avdija (42297983),PJ Washington (42298137),Jalen Smith (42298194),Vit Krejci (42298414),Kristaps Porzingis (42298172),Jrue Holiday (42298036),,PG,Ty Jerome (42298076),Ty Jerome,42298076,PG/G/UTIL,6700,MEM@CHI 03/16/2026 08:00PM ET,MEM,34.48
5090212784,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),Bub Carrington (42298224),Jaylen Brown (42297975),Matas Buzelis (42298018),Jalen Smith (42298194),Cedric Coward (42298203),Cam Spencer (42298198),Wendell Carter Jr. (42298165),,SG/SF,Grayson Allen (42298071),Grayson Allen,42298071,SG/SF/F/G/UTIL,6700,PHX@BOS 03/16/2026 07:30PM ET,PHX,31.52
5090212785,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Derrick White (42298013),Trey Murphy III (42298024),Jalen Green (42298057),Derik Queen (42298270),Nic Claxton (42298146),Jeremiah Fears (42298299),Naji Marshall (42298122),Jalen Suggs (42298049),,SF,Moses Moody (42298083),Moses Moody,42298083,SF/F/UTIL,6500,GSW@WAS 03/16/2026 07:00PM ET,GSW,22.27
5090212786,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Max Christie (42298273),Deni Avdija (42297983),Jalen Johnson (42297962),Marvin Bagley III (42298294),Corey Kispert (42298448),Bilal Coulibaly (42298215),Jock Landale (42298400),,PF,Jerami Grant (42298086),Jerami Grant,42298086,PF/F/UTIL,6500,POR@BKN 03/16/2026 07:30PM ET,POR,29.19
5090212787,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Drake Powell (42298357),Jaylen Brown (42297975),Jalen Johnson (42297962),Jock Landale (42298400),Kris Murray (42298453),Khris Middleton (42298263),Tristan da Silva (42298157),,SF/PF,Saddiq Bey (42298079),Saddiq Bey,42298079,SF/PF/F/UTIL,6500,DAL@NOP 03/16/2026 08:00PM ET,NOP,30.75
5090212788,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jrue Holiday (42298036),Tre Johnson (42298321),Jaylen Brown (42297975),Paolo Banchero (42297965),Jock Landale (42298400),Jalen Suggs (42298049),Kristaps Porzingis (42298172),Corey Kispert (42298448),,SG,Kyshawn George (42298095),Kyshawn George,42298095,SG/G/UTIL,6400,GSW@WAS 03/16/2026 07:00PM ET,WAS,31.47
5090212789,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Scoot Henderson (42298154),Tre Jones (42298133),Deni Avdija (42297983),Zion Williamson (42298033),Marvin Bagley III (42298294),Grayson Allen (42298071),PJ Washington (42298137),Jalen Smith (42298194),,C,Neemias Queta (42298089),Neemias Queta,42298089,C/UTIL,6400,PHX@BOS 03/16/2026 07:30PM ET,BOS,26.73
5090212790,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),Tre Jones (42298133),Cam Spencer (42298198),Tristan da Silva (42298157),Onyeka Okongwu (42298031),Jevon Carter (42298349),Paolo Banchero (42297965),Jalen Smith (42298194),,PG/SG,Anthony Black (42298091),Anthony Black,42298091,PG/SG/G/UTIL,6400,ORL@ATL 03/16/2026 07:00PM ET,ORL,29.88
5090212791,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Trey Murphy III (42298024),Nickeil Alexander-Walker (42298039),Jaylen Brown (42297975),Deni Avdija (42297983),Nic Claxton (42298146),Corey Kispert (42298448),Derik Queen (42298270),Jock Landale (42298400),,PG/SG,Payton Pritchard (42298098),Payton Pritchard,42298098,PG/SG/G/UTIL,6300,PHX@BOS 03/16/2026 07:30PM ET,BOS,32.24
5090212792,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Trey Murphy III (42298024),Jeremiah Fears (42298299),Saddiq Bey (42298079),Zion Williamson (42298033),DeAndre Jordan (42298591),Naji Marshall (42298122),Kristaps Porzingis (42298172),Paolo Banchero (42297965),,PG,Collin Gillespie (42298102),Collin Gillespie,42298102,PG/G/UTIL,6200,PHX@BOS 03/16/2026 07:30PM ET,PHX,29.40
5090212793,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Derrick White (42298013),Tre Jones (42298133),Jordan Walsh (42298502),Matas Buzelis (42298018),Marvin Bagley III (42298294),Desmond Bane (42298003),Zion Williamson (42298033),Jalen Smith (42298194),,PF/C,Al Horford (42298110),Al Horford,42298110,PF/C/F/UTIL,6000,GSW@WAS 03/16/2026 07:00PM ET,GSW,22.53
5090212794,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Tre Jones (42298133),Herbert Jones (42298244),Matas Buzelis (42298018),Wendell Carter Jr. (42298165),Nickeil Alexander-Walker (42298039),Royce O'Neale (42298178),Jock Landale (42298400),,SG/SF,De'Anthony Melton (42298114),De'Anthony Melton,42298114,SG/SF/F/G/UTIL,6000,GSW@WAS 03/16/2026 07:00PM ET,GSW,24.24
5090212795,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Cooper Flagg (42297987),Jeremiah Fears (42298299),Will Riley (42298181),PJ Washington (42298137),Neemias Queta (42298089),Josh Giddey (42297980),Derik Queen (42298270),Jalen Smith (42298194),,PG,Javon Small (42298119),Javon Small,42298119,PG/G/UTIL,6000,MEM@CHI 03/16/2026 08:00PM ET,MEM,20.41
5090212796,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),Trey Murphy III (42298024),Will Riley (42298181),Gui Santos (42298043),Jalen Smith (42298194),Nickeil Alexander-Walker (42298039),Derik Queen (42298270),Wendell Carter Jr. (42298165),,SG/SF,Toumani Camara (42298105),Toumani Camara,42298105,SG/SF/F/G/UTIL,6000,POR@BKN 03/16/2026 07:30PM ET,POR,26.54
5090212797,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Derrick White (42298013),Tre Jones (42298133),Jaylen Brown (42297975),Matas Buzelis (42298018),Nic Claxton (42298146),Drake Powell (42298357),Derik Queen (42298270),Jalen Smith (42298194),,C,Nikola Vucevic (42298127),Nikola Vucevic,42298127,C/UTIL,5900,PHX@BOS 03/16/2026 07:30PM ET,BOS,34.70
5090212798,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),Devin Booker (42297971),Deni Avdija (42297983),Zion Williamson (42298033),Jalen Smith (42298194),Kris Murray (42298453),Bilal Coulibaly (42298215),Jock Landale (42298400),,PF/C,Danny Wolf (42298129),Danny Wolf,42298129,PF/C/F/UTIL,5900,POR@BKN 03/16/2026 07:30PM ET,BKN,20.74
5090212799,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Jordan Goodwin (42298240),Deni Avdija (42297983),Jerami Grant (42298086),Jalen Smith (42298194),Grayson Allen (42298071),PJ Washington (42298137),Sidy Cissoko (42298470),,SG/SF,Naji Marshall (42298122),Naji Marshall,42298122,SG/SF/F/G/UTIL,5900,DAL@NOP 03/16/2026 08:00PM ET,DAL,27.65
5090212800,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Brandon Williams (42298190),Jaylen Brown (42297975),Herbert Jones (42298244),Luka Garza (42298385),Jeremiah Fears (42298299),Jerami Grant (42298086),Nickeil Alexander-Walker (42298039),,PG/SG,Tre Jones (42298133),Tre Jones,42298133,PG/SG/G/UTIL,5800,MEM@CHI 03/16/2026 08:00PM ET,CHI,27.10
5090212801,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jamaree Bouyea (42298553),Trey Murphy III (42298024),Dyson Daniels (42298052),Derik Queen (42298270),Onyeka Okongwu (42298031),Jalen Suggs (42298049),Paolo Banchero (42297965),Jock Landale (42298400),,C,Santi Aldama (42298140),Santi Aldama,42298140,C/UTIL,5800,MEM@CHI 03/16/2026 08:00PM ET,MEM,30.25
5090212802,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Derrick White (42298013),CJ McCollum (42298062),Matisse Thybulle (42298496),Deni Avdija (42297983),Marvin Bagley III (42298294),Nickeil Alexander-Walker (42298039),Jerami Grant (42298086),Jalen Smith (42298194),,SF/PF,Jonathan Kuminga (42298142),Jonathan Kuminga,42298142,SF/PF/F/UTIL,5800,ORL@ATL 03/16/2026 07:00PM ET,ATL,25.49
5090212803,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jrue Holiday (42298036),Brandin Podziemski (42297996),Herbert Jones (42298244),Derik Queen (42298270),Donovan Clingan (42298016),Trey Murphy III (42298024),Cam Spencer (42298198),Jeremiah Fears (42298299),,PF,PJ Washington (42298137),PJ Washington,42298137,PF/F/UTIL,5800,DAL@NOP 03/16/2026 08:00PM ET,DAL,29.82
5090212804,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Cooper Flagg (42297987),Cedric Coward (42298203),Jalen Green (42298057),Jayson Tatum (42297990),Marvin Bagley III (42298294),Tre Jones (42298133),Cam Spencer (42298198),Jalen Smith (42298194),,SG,Anfernee Simons (42298148),Anfernee Simons,42298148,SG/G/UTIL,5700,MEM@CHI 03/16/2026 08:00PM ET,CHI,22.98
