Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5083005921,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Keyonte George (42202611),Quentin Grimes (42202759),Kawhi Leonard (42202574),Jalen Johnson (42202569),Jock Landale (42202862),Ty Jerome (42202650),Marjon Beauchamp (42203129),Cam Thomas (42202904),,1. Column A lists all of your contest entries for this draftgroup
5083005922,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Ty Jerome (42202650),Cedric Coward (42202729),Kawhi Leonard (42202574),Jalen Johnson (42202569),Jock Landale (42202862),Cam Thomas (42202904),Marjon Beauchamp (42203129),Nickeil Alexander-Walker (42202618),,2. Your current lineup is listed next to each entry (blank for reservations)
5083005923,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Ty Jerome (42202650),Kawhi Leonard (42202574),Michael Porter Jr. (42202600),Noah Clowney (42202774),Draymond Green (42202718),Bennedict Mathurin (42202645),Dyson Daniels (42202653),Marjon Beauchamp (42203129),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5083005924,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Ty Jerome (42202650),Bogdan Bogdanovic (42203066),Michael Porter Jr. (42202600),Jalen Johnson (42202569),Jock Landale (42202862),Kawhi Leonard (42202574),Kyle Kuzma (42202787),Kevin Huerter (42202893),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5083005925,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Cam Thomas (42202904),Kelly Oubre Jr. (42202680),Michael Porter Jr. (42202600),Jalen Johnson (42202569),Myles Turner (42202725),Dyson Daniels (42202653),Draymond Green (42202718),Kyle Kuzma (42202787),,5. For faster processing only include entries you are changing in the file you upload
5083005926,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Ty Jerome (42202650),Quentin Grimes (42202759),Michael Porter Jr. (42202600),Jalen Johnson (42202569),Jock Landale (42202862),CJ McCollum (42202629),Dyson Daniels (42202653),Marjon Beauchamp (42203129),,
5083005927,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Shai Gilgeous-Alexander (42202560),Cedric Coward (42202729),Kawhi Leonard (42202574),Kyle Kuzma (42202787),Nic Claxton (42202690),Dyson Daniels (42202653),Noah Clowney (42202774),Marjon Beauchamp (42203129),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5083005938,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Keyonte George (42202611),Cam Thomas (42202904),Michael Porter Jr. (42202600),Jalen Johnson (42202569),Jock Landale (42202862),Ty Jerome (42202650),Dyson Daniels (42202653),Marjon Beauchamp (42203129),,PF,Lauri Markkanen (42202588),Lauri Markkanen,42202588,PF/F/UTIL,8300,UTA@MIL 03/07/2026 08:00PM ET,UTA,42.32
5083005939,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Ty Jerome (42202650),Dyson Daniels (42202653),Michael Porter Jr. (42202600),Kyle Kuzma (42202787),Nic Claxton (42202690),Shai Gilgeous-Alexander (42202560),Noah Clowney (42202774),Marjon Beauchamp (42203129),,C,Jalen Duren (42202591),Jalen Duren,42202591,C/UTIL,8200,BKN@DET 03/07/2026 06:00PM ET,DET,36.76
5083005940,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Keyonte George (42202611),Cam Thomas (42202904),Kawhi Leonard (42202574),Jalen Johnson (42202569),Jock Landale (42202862),Ty Jerome (42202650),Kyle Kuzma (42202787),Terance Mann (42202949),,PG/SG,Kevin Porter Jr. (42202593),Kevin Porter Jr.,42202593,PG/SG/G/UTIL,8200,UTA@MIL 03/07/2026 08:00PM ET,MIL,40.11
,,,,,,,,,,,,,SF,Michael Porter Jr. (42202600),Michael Porter Jr.,42202600,SF/F/UTIL,8100,BKN@DET 03/07/2026 06:00PM ET,BKN,41.12
,,,,,,,,,,,,,PG,Isaiah Collier (42202597),Isaiah Collier,42202597,PG/G/UTIL,8100,UTA@MIL 03/07/2026 08:00PM ET,UTA,27.50
,,,,,,,,,,,,,SF,Jalen Williams (42202603),Jalen Williams,42202603,SF/F/UTIL,8100,GSW@OKC 03/07/2026 08:30PM ET,OKC,34.16
,,,,,,,,,,,,,PG,Ryan Rollins (42202606),Ryan Rollins,42202606,PG/G/UTIL,8000,UTA@MIL 03/07/2026 08:00PM ET,MIL,34.66
,,,,,,,,,,,,,C,Onyeka Okongwu (42202609),Onyeka Okongwu,42202609,C/UTIL,7900,PHI@ATL 03/07/2026 06:00PM ET,ATL,35.71
,,,,,,,,,,,,,PG,Keyonte George (42202611),Keyonte George,42202611,PG/G/UTIL,7900,UTA@MIL 03/07/2026 08:00PM ET,UTA,40.79
,,,,,,,,,,,,,PF/C,Kyle Filipowski (42202614),Kyle Filipowski,42202614,PF/C/F/UTIL,7700,UTA@MIL 03/07/2026 08:00PM ET,UTA,24.69
,,,,,,,,,,,,,PG/SG,Nickeil Alexander-Walker (42202618),Nickeil Alexander-Walker,42202618,PG/SG/G/UTIL,7500,PHI@ATL 03/07/2026 06:00PM ET,ATL,33.83
,,,,,,,,,,,,,PG/SG,Brandin Podziemski (42202622),Brandin Podziemski,42202622,PG/SG/G/UTIL,7100,GSW@OKC 03/07/2026 08:30PM ET,GSW,27.23
,,,,,,,,,,,,,SG,VJ Edgecombe (42202626),VJ Edgecombe,42202626,SG/G/UTIL,6900,PHI@ATL 03/07/2026 06:00PM ET,PHI,32.26
,,,,,,,,,,,,,PG/SG,CJ McCollum (42202629),CJ McCollum,42202629,PG/SG/G/UTIL,6800,PHI@ATL 03/07/2026 06:00PM ET,ATL,31.14
,,,,,,,,,,,,,PG,Darius Garland (42202633),Darius Garland,42202633,PG/G/UTIL,6800,LAC@MEM 03/07/2026 08:00PM ET,LAC,32.49
,,,,,,,,,,,,,SF,Ace Bailey (42202636),Ace Bailey,42202636,SF/F/UTIL,6700,UTA@MIL 03/07/2026 08:00PM ET,UTA,22.76
,,,,,,,,,,,,,PF,Gregory Jackson (42202639),Gregory Jackson,42202639,PF/F/UTIL,6600,LAC@MEM 03/07/2026 08:00PM ET,MEM,20.84
,,,,,,,,,,,,,SG/SF,Bennedict Mathurin (42202645),Bennedict Mathurin,42202645,SG/SF/F/G/UTIL,6400,LAC@MEM 03/07/2026 08:00PM ET,LAC,30.10
,,,,,,,,,,,,,PG,Ty Jerome (42202650),Ty Jerome,42202650,PG/G/UTIL,6400,LAC@MEM 03/07/2026 08:00PM ET,MEM,33.78
,,,,,,,,,,,,,PF,Gui Santos (42202642),Gui Santos,42202642,PF/F/UTIL,6400,GSW@OKC 03/07/2026 08:30PM ET,GSW,16.16
,,,,,,,,,,,,,SG/SF,Dyson Daniels (42202653),Dyson Daniels,42202653,SG/SF/F/G/UTIL,6300,PHI@ATL 03/07/2026 06:00PM ET,ATL,32.91
,,,,,,,,,,,,,SF,Moses Moody (42202658),Moses Moody,42202658,SF/F/UTIL,6300,GSW@OKC 03/07/2026 08:30PM ET,GSW,22.27
,,,,,,,,,,,,,C,Zach Edey (42202661),Zach Edey,42202661,C/UTIL,6200,LAC@MEM 03/07/2026 08:00PM ET,MEM,33.77
,,,,,,,,,,,,,PF/C,John Collins (42202663),John Collins,42202663,PF/C/F/UTIL,6100,LAC@MEM 03/07/2026 08:00PM ET,LAC,25.05
,,,,,,,,,,,,,PG/SG,De'Anthony Melton (42202667),De'Anthony Melton,42202667,PG/SG/G/UTIL,6100,GSW@OKC 03/07/2026 08:30PM ET,GSW,23.85
,,,,,,,,,,,,,SF/PF,Jonathan Kuminga (42202673),Jonathan Kuminga,42202673,SF/PF/F/UTIL,6000,PHI@ATL 03/07/2026 06:00PM ET,ATL,25.94
,,,,,,,,,,,,,C,Isaiah Hartenstein (42202671),Isaiah Hartenstein,42202671,C/UTIL,6000,GSW@OKC 03/07/2026 08:30PM ET,OKC,30.07
,,,,,,,,,,,,,SG/SF,Kelly Oubre Jr. (42202680),Kelly Oubre Jr.,42202680,SG/SF/F/G/UTIL,5900,PHI@ATL 03/07/2026 06:00PM ET,PHI,26.86
,,,,,,,,,,,,,PF,Tobias Harris (42202677),Tobias Harris,42202677,PF/F/UTIL,5900,BKN@DET 03/07/2026 06:00PM ET,DET,25.89
,,,,,,,,,,,,,C,Nic Claxton (42202690),Nic Claxton,42202690,C/UTIL,5800,BKN@DET 03/07/2026 06:00PM ET,BKN,30.92
,,,,,,,,,,,,,SG/SF,Brice Sensabaugh (42202685),Brice Sensabaugh,42202685,SG/SF/F/G/UTIL,5800,UTA@MIL 03/07/2026 08:00PM ET,UTA,20.53
,,,,,,,,,,,,,PF/C,Santi Aldama (42202692),Santi Aldama,42202692,PF/C/F/UTIL,5800,LAC@MEM 03/07/2026 08:00PM ET,MEM,30.25
,,,,,,,,,,,,,PF/C,Kristaps Porzingis (42202696),Kristaps Porzingis,42202696,PF/C/F/UTIL,5800,GSW@OKC 03/07/2026 08:30PM ET,GSW,30.92
,,,,,,,,,,,,,SF,Ausar Thompson (42202705),Ausar Thompson,42202705,SF/F/UTIL,5700,BKN@DET 03/07/2026 06:00PM ET,DET,26.87
,,,,,,,,,,,,,PG,Javon Small (42202708),Javon Small,42202708,PG/G/UTIL,5700,LAC@MEM 03/07/2026 08:00PM ET,MEM,18.52
,,,,,,,,,,,,,SG/SF,Cason Wallace (42202700),Cason Wallace,42202700,SG/SF/F/G/UTIL,5700,GSW@OKC 03/07/2026 08:30PM ET,OKC,21.83
,,,,,,,,,,,,,PG,Scotty Pippen Jr. (42202715),Scotty Pippen Jr.,42202715,PG/G/UTIL,5600,LAC@MEM 03/07/2026 08:00PM ET,MEM,25.42
,,,,,,,,,,,,,PF/C,Al Horford (42202711),Al Horford,42202711,PF/C/F/UTIL,5600,GSW@OKC 03/07/2026 08:30PM ET,GSW,22.65
,,,,,,,,,,,,,PF/C,Draymond Green (42202718),Draymond Green,42202718,PF/C/F/UTIL,5500,GSW@OKC 03/07/2026 08:30PM ET,GSW,25.52
,,,,,,,,,,,,,C,Myles Turner (42202725),Myles Turner,42202725,C/UTIL,5400,UTA@MIL 03/07/2026 08:00PM ET,MIL,26.84
,,,,,,,,,,,,,PG,Kris Dunn (42202722),Kris Dunn,42202722,PG/G/UTIL,5400,LAC@MEM 03/07/2026 08:00PM ET,LAC,20.54
,,,,,,,,,,,,,C,Day'Ron Sharpe (42202727),Day'Ron Sharpe,42202727,C/UTIL,5300,BKN@DET 03/07/2026 06:00PM ET,BKN,22.57
,,,,,,,,,,,,,SG,Cedric Coward (42202729),Cedric Coward,42202729,SG/G/UTIL,5300,LAC@MEM 03/07/2026 08:00PM ET,MEM,27.35
,,,,,,,,,,,,,PF/C,Olivier-Maxence Prosper (42202732),Olivier-Maxence Prosper,42202732,PF/C/F/UTIL,5300,LAC@MEM 03/07/2026 08:00PM ET,MEM,14.82
,,,,,,,,,,,,,C,Andre Drummond (42202744),Andre Drummond,42202744,C/UTIL,5200,PHI@ATL 03/07/2026 06:00PM ET,PHI,21.78
,,,,,,,,,,,,,PF/C,Bobby Portis (42202736),Bobby Portis,42202736,PF/C/F/UTIL,5200,UTA@MIL 03/07/2026 08:00PM ET,MIL,25.58
,,,,,,,,,,,,,PF/C,Jaylin Williams (42202740),Jaylin Williams,42202740,PF/C/F/UTIL,5200,GSW@OKC 03/07/2026 08:30PM ET,OKC,20.19
,,,,,,,,,,,,,PG,Pat Spencer (42202746),Pat Spencer,42202746,PG/G/UTIL,5200,GSW@OKC 03/07/2026 08:30PM ET,GSW,15.77
,,,,,,,,,,,,,SG/SF,Cam Spencer (42202749),Cam Spencer,42202749,SG/SF/F/G/UTIL,5100,LAC@MEM 03/07/2026 08:00PM ET,MEM,25.18
,,,,,,,,,,,,,C,Brook Lopez (42202754),Brook Lopez,42202754,C/UTIL,5100,LAC@MEM 03/07/2026 08:00PM ET,LAC,16.93
,,,,,,,,,,,,,PG/SG,Quentin Grimes (42202759),Quentin Grimes,42202759,PG/SG/G/UTIL,5000,PHI@ATL 03/07/2026 06:00PM ET,PHI,24.68
,,,,,,,,,,,,,SF,Jaylen Wells (42202756),Jaylen Wells,42202756,SF/F/UTIL,5000,LAC@MEM 03/07/2026 08:00PM ET,MEM,21.75
,,,,,,,,,,,,,SG,Walter Clayton Jr. (42202763),Walter Clayton Jr.,42202763,SG/G/UTIL,4900,LAC@MEM 03/07/2026 08:00PM ET,MEM,17
,,,,,,,,,,,,,PG/SG,Egor Demin (42202766),Egor Demin,42202766,PG/SG/G/UTIL,4800,BKN@DET 03/07/2026 06:00PM ET,BKN,21.93
,,,,,,,,,,,,,SF/PF,Derrick Jones Jr. (42202770),Derrick Jones Jr.,42202770,SF/PF/F/UTIL,4800,LAC@MEM 03/07/2026 08:00PM ET,LAC,20.3
,,,,,,,,,,,,,PF,Noah Clowney (42202774),Noah Clowney,42202774,PF/F/UTIL,4700,BKN@DET 03/07/2026 06:00PM ET,BKN,23.91
,,,,,,,,,,,,,PG,Nolan Traore (42202784),Nolan Traore,42202784,PG/G/UTIL,4700,BKN@DET 03/07/2026 06:00PM ET,BKN,17.52
,,,,,,,,,,,,,PF/C,Taylor Hendricks (42202777),Taylor Hendricks,42202777,PF/C/F/UTIL,4700,LAC@MEM 03/07/2026 08:00PM ET,MEM,13.77
,,,,,,,,,,,,,PG,Ajay Mitchell (42202781),Ajay Mitchell,42202781,PG/G/UTIL,4700,GSW@OKC 03/07/2026 08:30PM ET,OKC,27.19
,,,,,,,,,,,,,PF/C,Dominick Barlow (42202791),Dominick Barlow,42202791,PF/C/F/UTIL,4600,PHI@ATL 03/07/2026 06:00PM ET,PHI,18.91
,,,,,,,,,,,,,PF/C,Isaiah Stewart (42202795),Isaiah Stewart,42202795,PF/C/F/UTIL,4600,BKN@DET 03/07/2026 06:00PM ET,DET,21.99
,,,,,,,,,,,,,SF/PF,Kyle Kuzma (42202787),Kyle Kuzma,42202787,SF/PF/F/UTIL,4600,UTA@MIL 03/07/2026 08:00PM ET,MIL,24.60
,,,,,,,,,,,,,SF/PF,John Konchar (42202799),John Konchar,42202799,SF/PF/F/UTIL,4600,UTA@MIL 03/07/2026 08:00PM ET,UTA,13.29
,,,,,,,,,,,,,SG,Duncan Robinson (42202803),Duncan Robinson,42202803,SG/G/UTIL,4500,BKN@DET 03/07/2026 06:00PM ET,DET,21.19
,,,,,,,,,,,,,SF,Rayan Rupert (42202809),Rayan Rupert,42202809,SF/F/UTIL,4500,LAC@MEM 03/07/2026 08:00PM ET,MEM,9.04
,,,,,,,,,,,,,SG,Isaiah Joe (42202806),Isaiah Joe,42202806,SG/G/UTIL,4500,GSW@OKC 03/07/2026 08:30PM ET,OKC,19.07
,,,,,,,,,,,,,SF/PF,Jabari Walker (42202812),Jabari Walker,42202812,SF/PF/F/UTIL,4400,PHI@ATL 03/07/2026 06:00PM ET,PHI,10.28
,,,,,,,,,,,,,PF/C,Danny Wolf (42202825),Danny Wolf,42202825,PF/C/F/UTIL,4400,BKN@DET 03/07/2026 06:00PM ET,BKN,20.09
,,,,,,,,,,,,,SG/SF,Cody Williams (42202816),Cody Williams,42202816,SG/SF/F/G/UTIL,4400,UTA@MIL 03/07/2026 08:00PM ET,UTA,12.70
,,,,,,,,,,,,,SF/PF,Aaron Wiggins (42202821),Aaron Wiggins,42202821,SF/PF/F/UTIL,4400,GSW@OKC 03/07/2026 08:30PM ET,OKC,20.45
,,,,,,,,,,,,,SG/SF,AJ Green (42202829),AJ Green,42202829,SG/SF/F/G/UTIL,4300,UTA@MIL 03/07/2026 08:00PM ET,MIL,18.44
,,,,,,,,,,,,,SG/SF,Jahmai Mashack (42202842),Jahmai Mashack,42202842,SG/SF/F/G/UTIL,4300,LAC@MEM 03/07/2026 08:00PM ET,MEM,11.71
,,,,,,,,,,,,,SG/SF,Gary Payton II (42202834),Gary Payton II,42202834,SG/SF/F/G/UTIL,4300,GSW@OKC 03/07/2026 08:30PM ET,GSW,14.12
,,,,,,,,,,,,,SG,Luguentz Dort (42202839),Luguentz Dort,42202839,SG/G/UTIL,4300,GSW@OKC 03/07/2026 08:30PM ET,OKC,18.58
,,,,,,,,,,,,,PF,Trendon Watford (42202856),Trendon Watford,42202856,PF/F/UTIL,4200,PHI@ATL 03/07/2026 06:00PM ET,PHI,15.02
,,,,,,,,,,,,,PG/SG,Jordan Miller (42202852),Jordan Miller,42202852,PG/SG/G/UTIL,4200,LAC@MEM 03/07/2026 08:00PM ET,LAC,17.74
,,,,,,,,,,,,,SG/SF,Will Richard (42202847),Will Richard,42202847,SG/SF/F/G/UTIL,4200,GSW@OKC 03/07/2026 08:30PM ET,GSW,15.06
,,,,,,,,,,,,,C,Jock Landale (42202862),Jock Landale,42202862,C/UTIL,4100,PHI@ATL 03/07/2026 06:00PM ET,ATL,23.79
,,,,,,,,,,,,,PF,Ronald Holland II (42202859),Ronald Holland II,42202859,PF/F/UTIL,4100,BKN@DET 03/07/2026 06:00PM ET,DET,18.86
,,,,,,,,,,,,,C,Jericho Sims (42202864),Jericho Sims,42202864,C/UTIL,4100,UTA@MIL 03/07/2026 08:00PM ET,MIL,12.11
,,,,,,,,,,,,,PG/SG,EJ Harkless (42202866),EJ Harkless,42202866,PG/SG/G/UTIL,4100,UTA@MIL 03/07/2026 08:00PM ET,UTA,9.86
,,,,,,,,,,,,,C,Adem Bona (42202877),Adem Bona,42202877,C/UTIL,4000,PHI@ATL 03/07/2026 06:00PM ET,PHI,13.25
,,,,,,,,,,,,,SG/SF,Javonte Green (42202872),Javonte Green,42202872,SG/SF/F/G/UTIL,4000,BKN@DET 03/07/2026 06:00PM ET,DET,14.68
,,,,,,,,,,,,,SG/SF,Ziaire Williams (42202879),Ziaire Williams,42202879,SG/SF/F/G/UTIL,4000,BKN@DET 03/07/2026 06:00PM ET,BKN,17.38
,,,,,,,,,,,,,SF,Ousmane Dieng (42202888),Ousmane Dieng,42202888,SF/F/UTIL,4000,UTA@MIL 03/07/2026 08:00PM ET,MIL,11.01
,,,,,,,,,,,,,C,Kevin Love (42202891),Kevin Love,42202891,C/UTIL,4000,UTA@MIL 03/07/2026 08:00PM ET,UTA,18.48
,,,,,,,,,,,,,C,Quinten Post (42202870),Quinten Post,42202870,C/UTIL,4000,GSW@OKC 03/07/2026 08:30PM ET,GSW,16.81
,,,,,,,,,,,,,PF/C,Kenrich Williams (42202884),Kenrich Williams,42202884,PF/C/F/UTIL,4000,GSW@OKC 03/07/2026 08:30PM ET,OKC,14.12
,,,,,,,,,,,,,SF,Zaccharie Risacher (42202898),Zaccharie Risacher,42202898,SF/F/UTIL,3900,PHI@ATL 03/07/2026 06:00PM ET,ATL,19.91
,,,,,,,,,,,,,SG/SF,Kevin Huerter (42202893),Kevin Huerter,42202893,SG/SF/F/G/UTIL,3900,BKN@DET 03/07/2026 06:00PM ET,DET,21.10
,,,,,,,,,,,,,PG/SG,Cam Thomas (42202904),Cam Thomas,42202904,PG/SG/G/UTIL,3900,UTA@MIL 03/07/2026 08:00PM ET,MIL,21.29
,,,,,,,,,,,,,SF,Alex Caruso (42202901),Alex Caruso,42202901,SF/F/UTIL,3900,GSW@OKC 03/07/2026 08:30PM ET,OKC,16.25
,,,,,,,,,,,,,SF,Nate Williams (42202908),Nate Williams,42202908,SF/F/UTIL,3900,GSW@OKC 03/07/2026 08:30PM ET,GSW,14.33
,,,,,,,,,,,,,SF,Justin Edwards (42202914),Justin Edwards,42202914,SF/F/UTIL,3800,PHI@ATL 03/07/2026 06:00PM ET,PHI,10.09
,,,,,,,,,,,,,PG,Daniss Jenkins (42202911),Daniss Jenkins,42202911,PG/G/UTIL,3800,BKN@DET 03/07/2026 06:00PM ET,DET,15.78
,,,,,,,,,,,,,C,Yanic Konan Niederhauser (42202917),Yanic Konan Niederhauser,42202917,C/UTIL,3800,LAC@MEM 03/07/2026 08:00PM ET,LAC,9.74
,,,,,,,,,,,,,C,Paul Reed (42202928),Paul Reed,42202928,C/UTIL,3700,BKN@DET 03/07/2026 06:00PM ET,DET,17.26
,,,,,,,,,,,,,PG/SG,Caris LeVert (42202930),Caris LeVert,42202930,PG/SG/G/UTIL,3700,BKN@DET 03/07/2026 06:00PM ET,DET,16.24
,,,,,,,,,,,,,SG/SF,Kobe Sanders (42202919),Kobe Sanders,42202919,SG/SF/F/G/UTIL,3700,LAC@MEM 03/07/2026 08:00PM ET,LAC,13.93
,,,,,,,,,,,,,PG/SG,Jared McCain (42202924),Jared McCain,42202924,PG/SG/G/UTIL,3700,GSW@OKC 03/07/2026 08:30PM ET,OKC,14.49
,,,,,,,,,,,,,SG/SF,Corey Kispert (42202934),Corey Kispert,42202934,SG/SF/F/G/UTIL,3600,PHI@ATL 03/07/2026 06:00PM ET,ATL,17
,,,,,,,,,,,,,PG/SG,Cameron Payne (42202939),Cameron Payne,42202939,PG/SG/G/UTIL,3500,PHI@ATL 03/07/2026 06:00PM ET,PHI,9.56
,,,,,,,,,,,,,PF,Blake Hinson (42202943),Blake Hinson,42202943,PF/F/UTIL,3500,UTA@MIL 03/07/2026 08:00PM ET,UTA,14.12
